Question,Answer
What is iron's radius?,Iron's radius is 156 picometers.
What is unique about iron?,Iron is the last element that stars fuse in their cores before going supernova.
What group is silver in?,Silver is in group 11.
What period is silver in?,Silver is in period 5.
What is silver's atomic weight?,Silver's atomic weight is 107.87.
What is silver's state at room temperature?,Silver's state is solid at room temperature.
How many protons does silver have?,Silver has 47 protons.
How many neutrons does silver usually have?,Silver usually has 47 neutrons.
How many electrons does silver usually have?,Silver usually has 47 electrons.
What is silver's symbol?,Silver's symbol is Ag.
Where is silver most abundant?,"Silver, like many metals, is common in rocks where it forms a component of minerals. On Earth, it is considered a precious metal."
What column is silver in?,Silver is in column 11.
What row is silver in?,Silver is in row 5.
What is silver's melting point?,Silver's melting point is 961.78 degrees Celsius.
What is silver's boiling point?,"Silver's boiling point is 2,162 degrees Celsius."
What is silver's radius?,Silver's radius is 165 picometers.
What is unique about silver?,Silver has the highest electrical and thermal conductivity as well as reflectivity of any element.
What group is cesium in?,Cesium is in group 1.
What period is cesium in?,Cesium is in period 6.
What is cesium's atomic weight?,Cesium's atomic weight is 132.91.
What is cesium's state at room temperature?,Cesium's state is solid at room temperature.
How many protons does cesium have?,Cesium has 55 protons.
How many neutrons does cesium usually have?,Cesium usually has 55 neutrons.
How many electrons does cesium usually have?,Cesium usually has 55 electrons.
What is cesium's symbol?,Cesium's symbol is Cs.
Where is cesium most abundant?,"Cesium, like many metals, is common in rocks where it forms a component of minerals. It is a major component of toxic waste."
What column is cesium in?,Cesium is in column 1.
What row is cesium in?,Cesium is in row 6.
What is cesium's melting point?,Cesium's melting point is 28.4 degrees Celsius.
What is cesium's boiling point?,Cesium's boiling point is 670 degrees Celsius.
What is cesium's radius?,Cesium's radius is 265 picometers.
What is unique about cesium?,Cesium is the last element that stars fuse in their cores before going supernova.
What group is hydrogen in?,Hydrogen is in group 1.
What period is hydrogen in?,Hydrogen is in period 1.
What is hydrogen's atomic weight?,Hydrogen's atomic weight is 1.01.
What is hydrogen's state at room temperature?,Hydrogen's state is gas at room temperature.
How many protons does hydrogen have?,Hydrogen has 1 proton.
How many neutrons does hydrogen usually have?,Hydrogen usually has 0 neutrons.
How many electrons does hydrogen usually have?,Hydrogen usually has 1 electron.
What is hydrogen's symbol?,Hydrogen's symbol is H.
Where is hydrogen most abundant?,Hydrogen is most abundant in stars.
